month,year,quarter,month_number,month_name,channel,spend
2023-11,2023,Q4,11,November,Paid Search,37372.04
2023-11,2023,Q4,11,November,LinkedIn Ads,32286.81
2023-11,2023,Q4,11,November,Referral,8521.0
2023-11,2023,Q4,11,November,Partner,18928.38
2023-12,2023,Q4,12,December,Organic,11558.96
2023-12,2023,Q4,12,December,Paid Search,45389.83
2023-12,2023,Q4,12,December,LinkedIn Ads,25910.77
2023-12,2023,Q4,12,December,Referral,8718.59
2023-12,2023,Q4,12,December,Partner,18414.81
2024-01,2024,Q1,1,January,Organic,11359.21
2024-01,2024,Q1,1,January,Paid Search,46543.22
2024-01,2024,Q1,1,January,LinkedIn Ads,27038.47
2024-01,2024,Q1,1,January,Referral,6887.52
2024-01,2024,Q1,1,January,Partner,16714.53
2024-02,2024,Q1,2,February,Organic,10172.58
2024-02,2024,Q1,2,February,Paid Search,45568.82
2024-02,2024,Q1,2,February,LinkedIn Ads,31695.07
2024-02,2024,Q1,2,February,Referral,6646.27
2024-02,2024,Q1,2,February,Partner,18258.68
2024-03,2024,Q1,3,March,Organic,10142.32
2024-03,2024,Q1,3,March,Paid Search,38131.91
2024-03,2024,Q1,3,March,LinkedIn Ads,25338.44
2024-03,2024,Q1,3,March,Referral,7420.02
2024-03,2024,Q1,3,March,Partner,20618.29
2024-04,2024,Q2,4,April,Organic,7196.9
2024-04,2024,Q2,4,April,Paid Search,30571.37
2024-04,2024,Q2,4,April,LinkedIn Ads,22172.93
2024-04,2024,Q2,4,April,Referral,5466.81
2024-04,2024,Q2,4,April,Partner,15182.41
2024-05,2024,Q2,5,May,Organic,8654.38
2024-05,2024,Q2,5,May,Paid Search,28136.25
2024-05,2024,Q2,5,May,LinkedIn Ads,20882.75
2024-05,2024,Q2,5,May,Referral,5359.5
2024-05,2024,Q2,5,May,Partner,12441.51
2024-06,2024,Q2,6,June,Organic,6544.1
2024-06,2024,Q2,6,June,Paid Search,31399.23
2024-06,2024,Q2,6,June,LinkedIn Ads,20916.8
2024-06,2024,Q2,6,June,Referral,4933.03
2024-06,2024,Q2,6,June,Partner,12416.8
2024-07,2024,Q3,7,July,Organic,8530.85
2024-07,2024,Q3,7,July,Paid Search,28024.8
2024-07,2024,Q3,7,July,LinkedIn Ads,18673.49
2024-07,2024,Q3,7,July,Referral,5681.96
2024-07,2024,Q3,7,July,Partner,15237.75
2024-08,2024,Q3,8,August,Organic,7011.89
2024-08,2024,Q3,8,August,Paid Search,31969.88
2024-08,2024,Q3,8,August,LinkedIn Ads,22540.35
2024-08,2024,Q3,8,August,Referral,5251.36
2024-08,2024,Q3,8,August,Partner,14210.58
2024-09,2024,Q3,9,September,Organic,7298.55
2024-09,2024,Q3,9,September,Paid Search,31606.63
2024-09,2024,Q3,9,September,LinkedIn Ads,21737.23
2024-09,2024,Q3,9,September,Referral,5761.17
2024-09,2024,Q3,9,September,Partner,11665.26
2024-10,2024,Q4,10,October,Organic,11446.14
2024-10,2024,Q4,10,October,Paid Search,39363.34
2024-10,2024,Q4,10,October,LinkedIn Ads,25910.33
2024-10,2024,Q4,10,October,Referral,6725.41
2024-10,2024,Q4,10,October,Partner,18696.28
2024-11,2024,Q4,11,November,Organic,10954.0
2024-11,2024,Q4,11,November,Paid Search,35567.02
2024-11,2024,Q4,11,November,LinkedIn Ads,28703.76
2024-11,2024,Q4,11,November,Referral,7160.0
2024-11,2024,Q4,11,November,Partner,18992.64
2024-12,2024,Q4,12,December,Organic,9384.02
2024-12,2024,Q4,12,December,Paid Search,43982.9
2024-12,2024,Q4,12,December,LinkedIn Ads,27628.19
2024-12,2024,Q4,12,December,Referral,8821.95
2024-12,2024,Q4,12,December,Partner,16220.86
