event_id,customer_id,event_date,event_type,old_mrr,new_mrr,delta_mrr
54,CUST_00025,2023-02-25,new,0.0,241.9,241.9
55,CUST_00025,2024-08-01,churn,241.9,0.0,-241.9
56,CUST_00026,2023-10-15,new,0.0,104.57,104.57
57,CUST_00026,2024-01-01,churn,104.57,0.0,-104.57
58,CUST_00027,2022-10-16,new,0.0,104.94,104.94
59,CUST_00027,2022-10-01,contraction,104.94,94.14,-10.799999999999997
60,CUST_00027,2024-11-01,expansion,94.14,126.39,32.25
61,CUST_00028,2022-12-03,new,0.0,121.76,121.76
62,CUST_00028,2024-05-01,expansion,121.76,151.01,29.249999999999986
63,CUST_00028,2024-07-01,contraction,151.01,137.51,-13.5
64,CUST_00028,2024-11-01,expansion,137.51,162.99,25.480000000000018
65,CUST_00029,2023-01-20,new,0.0,141.94,141.94
66,CUST_00029,2023-07-01,contraction,141.94,116.83,-25.11
67,CUST_00029,2024-06-01,contraction,116.83,93.77,-23.060000000000002
68,CUST_00030,2023-11-20,new,0.0,63.07,63.07
69,CUST_00030,2024-01-01,expansion,63.07,80.4,17.330000000000005
70,CUST_00030,2024-02-01,expansion,80.4,98.73,18.33
71,CUST_00030,2024-04-01,expansion,98.73,120.68,21.950000000000003
72,CUST_00031,2022-10-08,new,0.0,95.01,95.01
73,CUST_00031,2023-03-01,contraction,95.01,89.64,-5.3700000000000045
74,CUST_00031,2023-09-01,churn,89.64,0.0,-89.64
75,CUST_00032,2024-10-08,new,0.0,203.13,203.13
76,CUST_00033,2022-12-10,new,0.0,93.21,93.21
77,CUST_00033,2023-02-01,contraction,93.21,88.44,-4.769999999999996
78,CUST_00033,2024-12-01,expansion,88.44,121.59,33.150000000000006
79,CUST_00034,2024-03-06,new,0.0,114.34,114.34
80,CUST_00034,2024-04-01,expansion,114.34,152.74,38.400000000000006
81,CUST_00034,2024-10-01,expansion,152.74,178.33,25.590000000000003
82,CUST_00035,2022-01-20,new,0.0,2852.85,2852.85
83,CUST_00035,2023-04-01,churn,2852.85,0.0,-2852.85
84,CUST_00036,2023-12-25,new,0.0,55.71,55.71
85,CUST_00036,2024-03-01,expansion,55.71,65.11,9.399999999999999
86,CUST_00036,2024-05-01,churn,65.11,0.0,-65.11
87,CUST_00037,2022-04-16,new,0.0,387.33,387.33
88,CUST_00037,2024-04-01,expansion,387.33,453.01,65.68
89,CUST_00038,2022-12-01,new,0.0,293.95,293.95
90,CUST_00038,2023-05-01,churn,293.95,0.0,-293.95
91,CUST_00039,2022-01-20,new,0.0,1541.05,1541.05
92,CUST_00039,2024-12-01,contraction,1541.05,1455.4,-85.64999999999986
93,CUST_00040,2022-01-15,new,0.0,76.33,76.33
94,CUST_00040,2024-04-01,expansion,76.33,90.99,14.659999999999997
95,CUST_00040,2024-07-01,churn,90.99,0.0,-90.99
96,CUST_00041,2024-12-20,new,0.0,71.85,71.85
97,CUST_00042,2024-03-23,new,0.0,95.06,95.06
98,CUST_00042,2024-06-01,contraction,95.06,86.28,-8.780000000000001
99,CUST_00042,2024-07-01,expansion,86.28,121.78,35.5
100,CUST_00043,2024-03-25,new,0.0,140.25,140.25
101,CUST_00043,2024-11-01,contraction,140.25,119.98,-20.269999999999996
102,CUST_00043,2024-11-01,churn,119.98,0.0,-119.98
103,CUST_00044,2022-02-05,new,0.0,65.45,65.45
104,CUST_00044,2024-08-01,expansion,65.45,84.6,19.14999999999999
105,CUST_00045,2024-01-26,new,0.0,80.24,80.24
106,CUST_00045,2024-05-01,churn,80.24,0.0,-80.24
107,CUST_00046,2024-01-19,new,0.0,112.66,112.66
108,CUST_00046,2024-04-01,contraction,112.66,106.99,-5.670000000000002
109,CUST_00046,2024-05-01,churn,106.99,0.0,-106.99
110,CUST_00047,2023-09-15,new,0.0,465.33,465.33
111,CUST_00047,2024-01-01,contraction,465.33,379.31,-86.01999999999998
112,CUST_00048,2023-12-04,new,0.0,138.2,138.2
113,CUST_00048,2023-12-04,churn,138.2,0.0,-138.2
114,CUST_00049,2024-02-22,new,0.0,144.04,144.04
115,CUST_00049,2024-07-01,expansion,144.04,172.86,28.82000000000002
116,CUST_00049,2024-11-01,expansion,172.86,217.46,44.599999999999994
117,CUST_00050,2024-12-09,new,0.0,91.58,91.58
118,CUST_00051,2023-02-08,new,0.0,914.84,914.84
119,CUST_00051,2023-06-01,contraction,914.84,783.89,-130.95000000000005
120,CUST_00051,2023-07-01,contraction,783.89,641.74,-142.14999999999998
121,CUST_00051,2023-10-01,contraction,641.74,558.07,-83.66999999999996
122,CUST_00051,2024-03-01,contraction,558.07,510.93,-47.14000000000004
123,CUST_00051,2024-05-01,contraction,510.93,431.22,-79.70999999999998
124,CUST_00051,2024-07-01,churn,431.22,0.0,-431.22
125,CUST_00052,2023-10-04,new,0.0,381.84,381.84
126,CUST_00053,2024-02-05,new,0.0,104.66,104.66
127,CUST_00053,2024-08-01,expansion,104.66,139.9,35.24000000000001
128,CUST_00054,2024-07-20,new,0.0,450.62,450.62
129,CUST_00054,2024-07-01,expansion,450.62,627.45,176.83000000000004
130,CUST_00054,2024-10-01,churn,627.45,0.0,-627.45
131,CUST_00055,2023-06-27,new,0.0,311.52,311.52
132,CUST_00055,2024-12-01,expansion,311.52,426.17,114.65000000000003
133,CUST_00056,2024-02-23,new,0.0,62.79,62.79
134,CUST_00056,2024-02-01,expansion,62.79,79.03,16.240000000000002
135,CUST_00056,2024-03-01,churn,79.03,0.0,-79.03
136,CUST_00057,2022-03-04,new,0.0,324.78,324.78
137,CUST_00057,2024-05-01,contraction,324.78,294.11,-30.66999999999996
138,CUST_00057,2024-08-01,expansion,294.11,382.77,88.65999999999997
139,CUST_00058,2024-03-23,new,0.0,68.69,68.69
140,CUST_00059,2022-11-20,new,0.0,110.55,110.55
141,CUST_00059,2023-05-01,churn,110.55,0.0,-110.55
142,CUST_00060,2024-11-01,new,0.0,109.77,109.77
143,CUST_00060,2024-12-01,contraction,109.77,100.53,-9.239999999999995
144,CUST_00061,2023-11-17,new,0.0,1285.06,1285.06
145,CUST_00061,2023-12-01,contraction,1285.06,1111.62,-173.44000000000005
146,CUST_00061,2024-04-01,contraction,1111.62,987.58,-124.03999999999985
147,CUST_00062,2023-02-23,new,0.0,78.33,78.33
148,CUST_00062,2024-02-01,expansion,78.33,97.15,18.820000000000007
149,CUST_00062,2024-03-01,expansion,97.15,126.04,28.89
150,CUST_00063,2022-02-16,new,0.0,132.89,132.89
151,CUST_00063,2022-08-01,churn,132.89,0.0,-132.89
152,CUST_00064,2024-06-22,new,0.0,139.09,139.09
153,CUST_00065,2024-11-21,new,0.0,1927.03,1927.03
154,CUST_00066,2024-09-03,new,0.0,464.47,464.47
155,CUST_00067,2024-02-16,new,0.0,124.31,124.31
156,CUST_00067,2024-02-01,expansion,124.31,156.96,32.650000000000006
157,CUST_00067,2024-07-01,contraction,156.96,130.69,-26.27000000000001
158,CUST_00067,2024-08-01,contraction,130.69,120.32,-10.370000000000005
159,CUST_00068,2023-01-06,new,0.0,329.95,329.95
160,CUST_00068,2024-07-01,expansion,329.95,466.47,136.52000000000004
161,CUST_00069,2024-12-06,new,0.0,2562.97,2562.97
162,CUST_00070,2024-01-11,new,0.0,58.02,58.02
163,CUST_00070,2024-02-01,expansion,58.02,81.29,23.270000000000003
164,CUST_00071,2023-01-25,new,0.0,443.08,443.08
165,CUST_00071,2023-03-01,contraction,443.08,406.24,-36.839999999999975
166,CUST_00071,2024-05-01,expansion,406.24,576.54,170.29999999999995
167,CUST_00072,2022-08-23,new,0.0,52.05,52.05
168,CUST_00072,2023-04-01,churn,52.05,0.0,-52.05
169,CUST_00073,2023-01-10,new,0.0,69.07,69.07
170,CUST_00073,2024-12-01,contraction,69.07,64.28,-4.789999999999992
171,CUST_00074,2022-01-01,new,0.0,142.07,142.07
172,CUST_00074,2023-03-01,contraction,142.07,123.23,-18.83999999999999
173,CUST_00074,2024-01-01,expansion,123.23,172.28,49.05
174,CUST_00074,2024-03-01,expansion,172.28,247.82,75.53999999999999
175,CUST_00074,2024-08-01,expansion,247.82,338.23,90.41000000000003
176,CUST_00075,2022-12-15,new,0.0,94.88,94.88
177,CUST_00075,2023-04-01,churn,94.88,0.0,-94.88
178,CUST_00076,2022-11-15,new,0.0,1490.53,1490.53
179,CUST_00076,2023-08-01,contraction,1490.53,1322.42,-168.1099999999999
180,CUST_00077,2024-01-23,new,0.0,107.76,107.76
181,CUST_00077,2024-01-01,expansion,107.76,152.89,45.12999999999998
182,CUST_00077,2024-07-01,expansion,152.89,206.98,54.09
183,CUST_00078,2023-03-04,new,0.0,383.55,383.55
184,CUST_00078,2024-10-01,expansion,383.55,553.66,170.10999999999996
185,CUST_00079,2023-11-10,new,0.0,93.1,93.1
186,CUST_00079,2024-04-01,expansion,93.1,125.55,32.45
187,CUST_00079,2024-05-01,churn,125.55,0.0,-125.55
188,CUST_00080,2022-07-02,new,0.0,92.0,92.0
189,CUST_00080,2022-07-02,churn,92.0,0.0,-92.0
190,CUST_00081,2023-10-13,new,0.0,120.94,120.94
191,CUST_00082,2023-03-06,new,0.0,60.56,60.56
192,CUST_00082,2024-03-01,expansion,60.56,84.51,23.950000000000003
193,CUST_00083,2023-11-20,new,0.0,97.85,97.85
194,CUST_00083,2024-04-01,churn,97.85,0.0,-97.85
195,CUST_00084,2022-12-18,new,0.0,64.33,64.33
196,CUST_00084,2024-02-01,contraction,64.33,54.58,-9.75
197,CUST_00085,2022-10-27,new,0.0,461.86,461.86
198,CUST_00085,2024-11-01,expansion,461.86,600.32,138.46000000000004
199,CUST_00086,2023-01-10,new,0.0,218.43,218.43
200,CUST_00086,2024-10-01,expansion,218.43,309.85,91.42000000000002
201,CUST_00087,2022-03-15,new,0.0,68.93,68.93
202,CUST_00087,2024-02-01,expansion,68.93,81.3,12.36999999999999
203,CUST_00087,2024-04-01,expansion,81.3,116.57,35.269999999999996
204,CUST_00087,2024-10-01,expansion,116.57,157.5,40.93000000000001
205,CUST_00087,2024-12-01,expansion,157.5,196.97,39.47
206,CUST_00088,2024-03-06,new,0.0,55.1,55.1
207,CUST_00088,2024-04-01,expansion,55.1,68.0,12.899999999999999
208,CUST_00088,2024-11-01,expansion,68.0,92.32,24.319999999999993
209,CUST_00089,2022-12-16,new,0.0,144.93,144.93
210,CUST_00089,2024-06-01,expansion,144.93,197.73,52.79999999999998
211,CUST_00090,2023-11-26,new,0.0,67.18,67.18
212,CUST_00090,2023-11-01,contraction,67.18,57.38,-9.800000000000004
213,CUST_00090,2024-04-01,contraction,57.38,52.24,-5.140000000000001
214,CUST_00090,2024-06-01,expansion,52.24,62.23,9.989999999999995
215,CUST_00090,2024-06-01,churn,62.23,0.0,-62.23
216,CUST_00091,2024-10-24,new,0.0,428.0,428.0
217,CUST_00092,2024-11-13,new,0.0,81.22,81.22
218,CUST_00093,2023-01-03,new,0.0,207.67,207.67
219,CUST_00093,2024-05-01,expansion,207.67,283.52,75.85
220,CUST_00094,2023-06-18,new,0.0,239.69,239.69
221,CUST_00094,2024-07-01,expansion,239.69,290.33,50.639999999999986
222,CUST_00094,2024-08-01,expansion,290.33,413.58,123.25
223,CUST_00095,2024-10-16,new,0.0,89.18,89.18
224,CUST_00095,2024-11-01,contraction,89.18,81.75,-7.430000000000007
225,CUST_00096,2024-06-04,new,0.0,103.47,103.47
226,CUST_00096,2024-07-01,expansion,103.47,128.55,25.080000000000013
227,CUST_00097,2024-12-15,new,0.0,82.63,82.63
228,CUST_00098,2024-11-16,new,0.0,61.56,61.56
229,CUST_00099,2024-03-18,new,0.0,323.36,323.36
230,CUST_00100,2022-10-02,new,0.0,69.67,69.67
231,CUST_00100,2023-05-01,churn,69.67,0.0,-69.67
232,CUST_00101,2022-11-09,new,0.0,141.08,141.08
233,CUST_00101,2023-07-01,churn,141.08,0.0,-141.08
234,CUST_00102,2022-03-13,new,0.0,475.76,475.76
235,CUST_00102,2024-02-01,expansion,475.76,598.22,122.46000000000004
236,CUST_00103,2022-11-16,new,0.0,66.55,66.55
237,CUST_00103,2024-02-01,expansion,66.55,81.5,14.950000000000003
238,CUST_00103,2024-07-01,expansion,81.5,115.57,34.06999999999999
239,CUST_00103,2024-10-01,expansion,115.57,134.63,19.060000000000002
240,CUST_00103,2024-11-01,expansion,134.63,167.94,33.31
241,CUST_00104,2023-01-24,new,0.0,69.5,69.5
242,CUST_00104,2023-06-01,churn,69.5,0.0,-69.5
243,CUST_00105,2023-02-18,new,0.0,90.42,90.42
244,CUST_00105,2024-01-01,expansion,90.42,130.12,39.7
245,CUST_00106,2024-04-21,new,0.0,465.57,465.57
246,CUST_00107,2024-11-11,new,0.0,318.13,318.13
247,CUST_00108,2024-03-14,new,0.0,325.8,325.8
248,CUST_00109,2022-11-18,new,0.0,62.91,62.91
249,CUST_00109,2022-11-18,churn,62.91,0.0,-62.91
250,CUST_00110,2024-03-05,new,0.0,95.02,95.02
251,CUST_00110,2024-05-01,expansion,95.02,114.65,19.63000000000001
252,CUST_00110,2024-11-01,expansion,114.65,163.87,49.22
253,CUST_00111,2024-12-19,new,0.0,317.68,317.68
254,CUST_00112,2023-11-16,new,0.0,129.42,129.42
255,CUST_00112,2024-01-01,expansion,129.42,158.84,29.420000000000016
256,CUST_00113,2022-03-07,new,0.0,120.7,120.7
257,CUST_00114,2024-01-13,new,0.0,333.26,333.26
258,CUST_00115,2022-10-08,new,0.0,275.54,275.54
259,CUST_00115,2024-03-01,contraction,275.54,249.23,-26.31000000000003
260,CUST_00115,2024-05-01,expansion,249.23,348.06,98.83000000000001
261,CUST_00116,2024-11-26,new,0.0,116.69,116.69
262,CUST_00117,2023-12-14,new,0.0,60.19,60.19
263,CUST_00117,2024-04-01,expansion,60.19,79.83,19.64
264,CUST_00117,2024-05-01,expansion,79.83,92.98,13.150000000000006
265,CUST_00117,2024-07-01,churn,92.98,0.0,-92.98
266,CUST_00118,2024-11-08,new,0.0,285.14,285.14
267,CUST_00119,2024-12-26,new,0.0,455.26,455.26
268,CUST_00120,2024-03-11,new,0.0,51.46,51.46
269,CUST_00121,2023-12-23,new,0.0,92.35,92.35
270,CUST_00121,2024-03-01,expansion,92.35,106.69,14.340000000000003
271,CUST_00121,2024-06-01,contraction,106.69,92.83,-13.86
272,CUST_00122,2022-02-25,new,0.0,121.94,121.94
273,CUST_00122,2022-05-01,churn,121.94,0.0,-121.94
274,CUST_00123,2024-04-25,new,0.0,489.63,489.63
275,CUST_00123,2024-10-01,expansion,489.63,571.39,81.75999999999999
276,CUST_00124,2022-08-25,new,0.0,103.48,103.48
277,CUST_00124,2023-07-01,churn,103.48,0.0,-103.48
278,CUST_00125,2022-11-26,new,0.0,92.27,92.27
279,CUST_00125,2023-10-01,churn,92.27,0.0,-92.27
280,CUST_00126,2023-01-10,new,0.0,1537.89,1537.89
281,CUST_00126,2024-02-01,churn,1537.89,0.0,-1537.89
282,CUST_00127,2022-10-02,new,0.0,2561.18,2561.18
283,CUST_00127,2024-09-01,contraction,2561.18,2067.97,-493.21000000000004
284,CUST_00128,2024-01-06,new,0.0,137.24,137.24
285,CUST_00128,2024-06-01,contraction,137.24,129.62,-7.6200000000000045
286,CUST_00128,2024-08-01,contraction,129.62,115.68,-13.939999999999998
287,CUST_00128,2024-12-01,expansion,115.68,143.07,27.389999999999986
288,CUST_00129,2024-11-14,new,0.0,1929.74,1929.74
289,CUST_00130,2023-02-22,new,0.0,358.33,358.33
290,CUST_00130,2024-11-01,expansion,358.33,519.52,161.19
291,CUST_00131,2022-11-18,new,0.0,91.05,91.05
292,CUST_00131,2023-02-01,churn,91.05,0.0,-91.05
293,CUST_00132,2024-01-12,new,0.0,118.0,118.0
294,CUST_00132,2024-05-01,expansion,118.0,157.85,39.849999999999994
295,CUST_00132,2024-09-01,churn,157.85,0.0,-157.85
296,CUST_00133,2022-06-06,new,0.0,149.98,149.98
297,CUST_00133,2024-07-01,contraction,149.98,128.99,-20.98999999999998
298,CUST_00134,2023-02-10,new,0.0,454.84,454.84
299,CUST_00134,2023-10-01,churn,454.84,0.0,-454.84
300,CUST_00135,2023-07-17,new,0.0,86.29,86.29
301,CUST_00135,2024-10-01,contraction,86.29,70.96,-15.330000000000013
302,CUST_00136,2022-12-13,new,0.0,66.43,66.43
303,CUST_00136,2024-04-01,contraction,66.43,57.27,-9.160000000000004
304,CUST_00137,2023-12-05,new,0.0,76.89,76.89
305,CUST_00137,2024-05-01,expansion,76.89,96.43,19.540000000000006
306,CUST_00137,2024-08-01,expansion,96.43,137.92,41.48999999999998
307,CUST_00138,2024-03-16,new,0.0,249.1,249.1
308,CUST_00139,2022-07-17,new,0.0,134.16,134.16
309,CUST_00139,2023-05-01,churn,134.16,0.0,-134.16
310,CUST_00140,2022-01-04,new,0.0,321.01,321.01
311,CUST_00140,2022-03-01,churn,321.01,0.0,-321.01
312,CUST_00141,2023-10-14,new,0.0,1906.7,1906.7
313,CUST_00142,2023-12-09,new,0.0,80.57,80.57
314,CUST_00143,2023-02-23,new,0.0,245.59,245.59
315,CUST_00143,2023-07-01,churn,245.59,0.0,-245.59
316,CUST_00144,2022-01-07,new,0.0,129.01,129.01
317,CUST_00144,2023-10-01,contraction,129.01,107.82,-21.189999999999998
318,CUST_00144,2024-02-01,expansion,107.82,156.11,48.29000000000002
319,CUST_00144,2024-04-01,contraction,156.11,135.42,-20.690000000000026
320,CUST_00145,2023-01-20,new,0.0,369.29,369.29
321,CUST_00145,2023-11-01,contraction,369.29,339.5,-29.79000000000002
322,CUST_00146,2022-01-11,new,0.0,221.57,221.57
323,CUST_00146,2022-09-01,churn,221.57,0.0,-221.57
324,CUST_00147,2023-10-10,new,0.0,64.94,64.94
325,CUST_00147,2023-12-01,churn,64.94,0.0,-64.94
326,CUST_00148,2023-12-19,new,0.0,73.1,73.1
327,CUST_00148,2024-01-01,expansion,73.1,104.39,31.290000000000006
328,CUST_00148,2024-09-01,expansion,104.39,137.88,33.489999999999995
329,CUST_00148,2024-11-01,contraction,137.88,111.8,-26.08
330,CUST_00149,2022-02-11,new,0.0,392.38,392.38
331,CUST_00149,2024-01-01,churn,392.38,0.0,-392.38
332,CUST_00150,2022-10-09,new,0.0,136.56,136.56
333,CUST_00150,2023-02-01,churn,136.56,0.0,-136.56
334,CUST_00151,2022-01-20,new,0.0,279.49,279.49
335,CUST_00151,2022-02-01,churn,279.49,0.0,-279.49
336,CUST_00152,2024-09-17,new,0.0,358.18,358.18
337,CUST_00152,2024-11-01,expansion,358.18,442.4,84.21999999999997
338,CUST_00153,2022-02-17,new,0.0,130.56,130.56
339,CUST_00153,2022-05-01,contraction,130.56,117.26,-13.299999999999997
340,CUST_00153,2022-12-01,contraction,117.26,97.35,-19.91000000000001
341,CUST_00154,2023-09-21,new,0.0,140.5,140.5
342,CUST_00155,2022-04-15,new,0.0,146.8,146.8
343,CUST_00155,2022-11-01,contraction,146.8,130.65,-16.150000000000006
344,CUST_00155,2024-02-01,expansion,130.65,153.06,22.409999999999997
345,CUST_00156,2024-02-18,new,0.0,86.26,86.26
346,CUST_00156,2024-07-01,expansion,86.26,101.29,15.030000000000001
347,CUST_00157,2023-03-16,new,0.0,2880.7,2880.7
348,CUST_00158,2024-03-26,new,0.0,94.67,94.67
349,CUST_00158,2024-10-01,churn,94.67,0.0,-94.67
350,CUST_00159,2023-11-04,new,0.0,120.79,120.79
351,CUST_00159,2024-07-01,churn,120.79,0.0,-120.79
352,CUST_00160,2023-01-10,new,0.0,84.3,84.3
353,CUST_00160,2024-02-01,contraction,84.3,68.87,-15.429999999999993
354,CUST_00161,2022-10-04,new,0.0,100.06,100.06
355,CUST_00161,2023-07-01,churn,100.06,0.0,-100.06
356,CUST_00162,2024-03-11,new,0.0,122.01,122.01
357,CUST_00162,2024-05-01,expansion,122.01,171.43,49.42
358,CUST_00163,2024-12-27,new,0.0,304.19,304.19
359,CUST_00164,2023-01-14,new,0.0,1029.96,1029.96
360,CUST_00164,2023-06-01,contraction,1029.96,961.54,-68.42000000000007
361,CUST_00165,2024-10-19,new,0.0,324.33,324.33
362,CUST_00165,2024-12-01,contraction,324.33,282.79,-41.539999999999964
363,CUST_00166,2023-11-14,new,0.0,242.64,242.64
364,CUST_00166,2023-11-14,churn,242.64,0.0,-242.64
365,CUST_00167,2022-02-16,new,0.0,102.75,102.75
366,CUST_00167,2022-09-01,contraction,102.75,96.4,-6.349999999999994
367,CUST_00167,2023-02-01,churn,96.4,0.0,-96.4
368,CUST_00168,2023-11-25,new,0.0,60.29,60.29
369,CUST_00168,2023-12-01,churn,60.29,0.0,-60.29
370,CUST_00169,2024-12-13,new,0.0,203.9,203.9
371,CUST_00169,2024-12-01,contraction,203.9,180.9,-23.0
372,CUST_00170,2023-10-27,new,0.0,404.28,404.28
373,CUST_00171,2023-11-19,new,0.0,80.32,80.32
374,CUST_00171,2024-02-01,expansion,80.32,106.22,25.900000000000006
375,CUST_00171,2024-06-01,churn,106.22,0.0,-106.22
376,CUST_00172,2023-12-20,new,0.0,138.78,138.78
377,CUST_00172,2024-06-01,expansion,138.78,200.9,62.120000000000005
378,CUST_00172,2024-09-01,expansion,200.9,231.18,30.28
379,CUST_00173,2022-01-21,new,0.0,297.24,297.24
380,CUST_00173,2023-10-01,contraction,297.24,249.85,-47.390000000000015
381,CUST_00173,2024-08-01,expansion,249.85,348.87,99.02000000000001
382,CUST_00174,2024-10-10,new,0.0,124.51,124.51
383,CUST_00175,2023-10-07,new,0.0,335.3,335.3
384,CUST_00175,2024-04-01,churn,335.3,0.0,-335.3
385,CUST_00176,2022-01-23,new,0.0,83.12,83.12
386,CUST_00176,2024-01-01,expansion,83.12,98.75,15.629999999999995
387,CUST_00176,2024-07-01,churn,98.75,0.0,-98.75
388,CUST_00177,2023-03-25,new,0.0,144.3,144.3
389,CUST_00177,2023-07-01,churn,144.3,0.0,-144.3
390,CUST_00178,2024-03-01,new,0.0,115.94,115.94
391,CUST_00178,2024-04-01,expansion,115.94,138.65,22.710000000000008
392,CUST_00179,2024-02-20,new,0.0,310.1,310.1
393,CUST_00179,2024-10-01,expansion,310.1,394.92,84.82
394,CUST_00180,2024-12-26,new,0.0,68.07,68.07
395,CUST_00181,2023-10-10,new,0.0,218.82,218.82
396,CUST_00182,2024-01-12,new,0.0,261.82,261.82
397,CUST_00182,2024-08-01,expansion,261.82,337.84,76.01999999999998
398,CUST_00182,2024-09-01,expansion,337.84,474.91,137.07000000000005
399,CUST_00182,2024-11-01,expansion,474.91,568.73,93.82
400,CUST_00183,2024-06-17,new,0.0,118.92,118.92
401,CUST_00184,2022-03-16,new,0.0,453.89,453.89
402,CUST_00184,2022-04-01,contraction,453.89,398.74,-55.14999999999998
403,CUST_00184,2023-01-01,contraction,398.74,371.12,-27.620000000000005
404,CUST_00184,2024-07-01,expansion,371.12,432.99,61.870000000000005
405,CUST_00185,2022-11-05,new,0.0,240.51,240.51
406,CUST_00185,2023-04-01,contraction,240.51,213.92,-26.590000000000003
407,CUST_00185,2024-01-01,expansion,213.92,274.51,60.59
408,CUST_00185,2024-11-01,expansion,274.51,364.58,90.07
409,CUST_00186,2022-11-21,new,0.0,145.26,145.26
410,CUST_00186,2023-04-01,contraction,145.26,133.74,-11.519999999999982
411,CUST_00186,2023-09-01,contraction,133.74,125.6,-8.140000000000015
412,CUST_00186,2023-11-01,contraction,125.6,109.85,-15.75
413,CUST_00187,2023-11-09,new,0.0,2094.89,2094.89
414,CUST_00188,2024-10-11,new,0.0,81.57,81.57
415,CUST_00188,2024-10-01,contraction,81.57,74.93,-6.639999999999986
416,CUST_00188,2024-10-11,churn,74.93,0.0,-74.93
417,CUST_00189,2023-12-03,new,0.0,84.99,84.99
418,CUST_00190,2024-02-12,new,0.0,143.16,143.16
419,CUST_00190,2024-06-01,churn,143.16,0.0,-143.16
420,CUST_00191,2022-01-21,new,0.0,144.77,144.77
421,CUST_00191,2022-05-01,contraction,144.77,118.36,-26.41000000000001
422,CUST_00191,2022-09-01,churn,118.36,0.0,-118.36
423,CUST_00192,2022-02-19,new,0.0,2310.63,2310.63
424,CUST_00193,2024-01-25,new,0.0,50.73,50.73
425,CUST_00193,2024-02-01,churn,50.73,0.0,-50.73
