customer_id,company_name,industry,employee_size,signup_date,sales_rep,acquisition_channel,country,lifetime_value
CUST_00039,Pulse Systems,Manufacturing,11-50,2022-01-20,Rep_6,Partner,USA,181925.0
CUST_00040,Nova Technologies,Manufacturing,1-10,2022-01-15,Rep_4,Paid Search,USA,1666.67
CUST_00041,Pulse AI,Retail,11-50,2024-12-20,Rep_9,LinkedIn Ads,India,2395.0
CUST_00042,Nova Technologies,EdTech,51-200,2024-03-23,Rep_12,Partner,Australia,4059.33
CUST_00043,Helix Systems,Healthcare,51-200,2024-03-25,Rep_1,LinkedIn Ads,USA,1666.67
CUST_00044,Vertex Cloud,EdTech,201-1000,2022-02-05,Rep_3,Paid Search,USA,2820.0
CUST_00045,Nova AI,Finance,51-200,2024-01-26,Rep_8,Referral,India,1666.67
CUST_00046,Vertex Technologies,Healthcare,11-50,2024-01-19,Rep_6,Organic,Australia,1666.67
CUST_00047,Helix Solutions,EdTech,51-200,2023-09-15,Rep_9,LinkedIn Ads,Germany,21072.78
CUST_00048,Summit Cloud,Retail,11-50,2023-12-04,Rep_1,LinkedIn Ads,Canada,1666.67
CUST_00049,Summit Labs,Retail,11-50,2024-02-22,Rep_11,Paid Search,USA,7248.67
CUST_00050,Summit Labs,SaaS,1-10,2024-12-09,Rep_6,LinkedIn Ads,Germany,3052.67
CUST_00051,Pulse AI,Retail,51-200,2023-02-08,Rep_1,Paid Search,UK,100000.0
CUST_00052,Pulse Analytics,SaaS,11-50,2023-10-04,Rep_4,Partner,USA,21213.33
CUST_00053,Apex AI,Manufacturing,51-200,2024-02-05,Rep_6,Paid Search,India,4663.33
CUST_00054,Quantum Solutions,Manufacturing,201-1000,2024-07-20,Rep_11,Paid Search,Germany,100000.0
CUST_00055,Zenith AI,SaaS,1-10,2023-06-27,Rep_3,Referral,India,23676.11
CUST_00056,Summit Software,Finance,11-50,2024-02-23,Rep_9,LinkedIn Ads,Germany,1666.67
CUST_00057,Quantum Systems,Manufacturing,51-200,2022-03-04,Rep_14,Referral,Germany,21265.0
CUST_00058,Zenith Analytics,Retail,1-10,2024-03-23,Rep_5,Partner,USA,2289.67
CUST_00059,Apex Technologies,Healthcare,11-50,2022-11-20,Rep_2,Paid Search,India,1666.67
CUST_00060,Nova Analytics,Manufacturing,1-10,2024-11-01,Rep_10,Paid Search,Canada,3351.0
CUST_00061,Quantum Technologies,SaaS,11-50,2023-11-17,Rep_6,Paid Search,Germany,123447.5
CUST_00062,Apex Systems,Manufacturing,11-50,2023-02-23,Rep_6,Partner,Germany,4201.33
CUST_00063,Summit AI,EdTech,201-1000,2022-02-16,Rep_5,Partner,USA,1666.67
CUST_00064,Quantum Solutions,Manufacturing,1-10,2024-06-22,Rep_12,Paid Search,USA,4636.33
CUST_00065,Quantum Labs,EdTech,11-50,2024-11-21,Rep_3,LinkedIn Ads,USA,240878.75
CUST_00066,Summit Technologies,EdTech,1-10,2024-09-03,Rep_8,Paid Search,Germany,25803.89
CUST_00067,Nimbus Labs,Manufacturing,11-50,2024-02-16,Rep_1,LinkedIn Ads,Canada,4010.67
CUST_00068,Quantum Software,SaaS,1-10,2023-01-06,Rep_5,Paid Search,Germany,100000.0
CUST_00069,Apex Software,Finance,201-1000,2024-12-06,Rep_11,LinkedIn Ads,UK,320371.25
CUST_00070,Pulse AI,Healthcare,11-50,2024-01-11,Rep_15,Organic,USA,2709.67
CUST_00071,Helix Cloud,Retail,11-50,2023-01-25,Rep_6,Paid Search,India,32030.0
CUST_00072,Nova Cloud,Manufacturing,11-50,2022-08-23,Rep_13,Partner,Canada,1666.67
CUST_00073,Vertex Analytics,Retail,1-10,2023-01-10,Rep_12,Partner,USA,2142.67
CUST_00074,Helix Technologies,EdTech,1-10,2022-01-01,Rep_11,Paid Search,USA,11274.33
CUST_00075,Apex Systems,Finance,1-10,2022-12-15,Rep_8,LinkedIn Ads,Australia,1666.67
CUST_00076,Nova AI,Retail,201-1000,2022-11-15,Rep_9,Paid Search,UK,165302.5
CUST_00077,Zenith Solutions,EdTech,11-50,2024-01-23,Rep_1,LinkedIn Ads,India,6899.33
CUST_00078,Vertex Labs,Retail,51-200,2023-03-04,Rep_3,Paid Search,India,30758.89
CUST_00079,Summit Solutions,Finance,1-10,2023-11-10,Rep_10,LinkedIn Ads,USA,1666.67
CUST_00080,Apex Software,Retail,201-1000,2022-07-02,Rep_11,Partner,USA,1666.67
CUST_00081,Orion Solutions,Manufacturing,11-50,2023-10-13,Rep_15,Paid Search,USA,4031.33
CUST_00082,Orion AI,SaaS,1-10,2023-03-06,Rep_11,Partner,USA,2817.0
CUST_00083,Helix Labs,Healthcare,51-200,2023-11-20,Rep_12,Paid Search,Australia,1666.67
CUST_00084,Nimbus AI,Retail,201-1000,2022-12-18,Rep_14,LinkedIn Ads,Germany,1819.33
CUST_00085,Pulse Analytics,Finance,51-200,2022-10-27,Rep_13,LinkedIn Ads,India,100000.0
CUST_00086,Quantum Solutions,EdTech,11-50,2023-01-10,Rep_6,Paid Search,Canada,100000.0
CUST_00087,Pulse Software,EdTech,1-10,2022-03-15,Rep_10,Paid Search,India,6565.67
CUST_00088,Vertex Systems,Manufacturing,11-50,2024-03-06,Rep_10,Paid Search,UK,3077.33
CUST_00089,Helix Software,EdTech,1-10,2022-12-16,Rep_9,Partner,Canada,6591.0
CUST_00090,Nimbus Systems,SaaS,1-10,2023-11-26,Rep_12,LinkedIn Ads,India,1666.67
CUST_00091,Helix Cloud,EdTech,1-10,2024-10-24,Rep_7,Paid Search,USA,23777.78
CUST_00092,Pulse Cloud,Finance,1-10,2024-11-13,Rep_5,Paid Search,India,2707.33
CUST_00093,Pulse Technologies,SaaS,51-200,2023-01-03,Rep_3,Partner,Germany,15751.11
CUST_00094,Nimbus Labs,Healthcare,11-50,2023-06-18,Rep_13,Paid Search,Australia,22976.67
CUST_00095,Nova Software,Retail,1-10,2024-10-16,Rep_11,LinkedIn Ads,Canada,2725.0
CUST_00096,Quantum Analytics,Finance,201-1000,2024-06-04,Rep_8,Referral,Canada,4285.0
CUST_00097,Vertex Software,Manufacturing,51-200,2024-12-15,Rep_1,Partner,USA,2754.33
CUST_00098,Nova Labs,EdTech,11-50,2024-11-16,Rep_11,LinkedIn Ads,Canada,2052.0
CUST_00099,Zenith Systems,EdTech,51-200,2024-03-18,Rep_6,Organic,UK,17964.44
CUST_00100,Quantum Analytics,EdTech,11-50,2022-10-02,Rep_12,Paid Search,USA,1666.67
CUST_00101,Summit Cloud,Manufacturing,1-10,2022-11-09,Rep_14,LinkedIn Ads,USA,1666.67
CUST_00102,Quantum AI,Finance,1-10,2022-03-13,Rep_12,LinkedIn Ads,India,100000.0
CUST_00103,Zenith Labs,EdTech,1-10,2022-11-16,Rep_15,Organic,Germany,5598.0
CUST_00104,Nimbus Systems,Finance,51-200,2023-01-24,Rep_10,Paid Search,India,1666.67
CUST_00105,Vertex Systems,EdTech,201-1000,2023-02-18,Rep_10,Organic,Australia,4337.33
CUST_00106,Zenith AI,Finance,11-50,2024-04-21,Rep_4,Organic,USA,25865.0
CUST_00107,Vertex Solutions,SaaS,1-10,2024-11-11,Rep_12,Referral,UK,17673.89
CUST_00108,Summit Cloud,Retail,11-50,2024-03-14,Rep_7,Partner,Germany,18100.0
CUST_00109,Nimbus Analytics,Healthcare,1-10,2022-11-18,Rep_13,Partner,USA,1666.67
CUST_00110,Apex Software,Retail,1-10,2024-03-05,Rep_8,LinkedIn Ads,USA,5462.33
CUST_00111,Summit Solutions,SaaS,11-50,2024-12-19,Rep_13,Paid Search,India,17648.89
CUST_00112,Apex Analytics,Healthcare,1-10,2023-11-16,Rep_8,Referral,UK,5294.67
CUST_00113,Nova Software,Retail,51-200,2022-03-07,Rep_2,Paid Search,UK,4023.33
CUST_00114,Apex Analytics,Finance,1-10,2024-01-13,Rep_12,Paid Search,USA,18514.44
CUST_00115,Pulse Software,Finance,1-10,2022-10-08,Rep_5,Paid Search,Canada,19336.67
CUST_00116,Zenith Analytics,Finance,1-10,2024-11-26,Rep_4,Paid Search,USA,3889.67
CUST_00117,Zenith Technologies,SaaS,11-50,2023-12-14,Rep_8,Referral,Australia,1666.67
CUST_00118,Vertex Labs,EdTech,201-1000,2024-11-08,Rep_9,Paid Search,UK,15841.11
CUST_00119,Nova Labs,Retail,1-10,2024-12-26,Rep_1,Paid Search,USA,25292.22
CUST_00120,Helix Cloud,Finance,1-10,2024-03-11,Rep_4,LinkedIn Ads,Australia,1715.33
CUST_00121,Nimbus Software,Retail,11-50,2023-12-23,Rep_5,LinkedIn Ads,India,3094.33
CUST_00122,Nimbus Systems,Retail,51-200,2022-02-25,Rep_2,LinkedIn Ads,USA,1666.67
CUST_00123,Vertex Cloud,EdTech,1-10,2024-04-25,Rep_5,Partner,Australia,100000.0
CUST_00124,Quantum Labs,Manufacturing,1-10,2022-08-25,Rep_14,Paid Search,Australia,1666.67
CUST_00125,Apex Software,Healthcare,11-50,2022-11-26,Rep_3,Paid Search,Germany,1666.67
CUST_00126,Orion Cloud,Manufacturing,1-10,2023-01-10,Rep_3,LinkedIn Ads,Australia,100000.0
CUST_00127,Pulse Solutions,Healthcare,11-50,2022-10-02,Rep_12,LinkedIn Ads,Canada,258496.25
CUST_00128,Summit Labs,Healthcare,11-50,2024-01-06,Rep_3,Organic,UK,4769.0
CUST_00129,Nimbus AI,SaaS,51-200,2024-11-14,Rep_3,Paid Search,Australia,241217.5
CUST_00130,Quantum Systems,Healthcare,201-1000,2023-02-22,Rep_8,Paid Search,UK,28862.22
CUST_00131,Orion Analytics,Finance,1-10,2022-11-18,Rep_10,LinkedIn Ads,Australia,1666.67
CUST_00132,Quantum Analytics,EdTech,51-200,2024-01-12,Rep_15,Paid Search,USA,1666.67
CUST_00133,Pulse AI,EdTech,1-10,2022-06-06,Rep_8,LinkedIn Ads,USA,4299.67
CUST_00134,Apex Technologies,EdTech,11-50,2023-02-10,Rep_11,Paid Search,India,11111.11
CUST_00135,Nova Labs,Manufacturing,11-50,2023-07-17,Rep_15,LinkedIn Ads,UK,2365.33
CUST_00136,Nimbus Systems,Retail,11-50,2022-12-13,Rep_12,Paid Search,India,1909.0
CUST_00137,Nimbus Analytics,Retail,1-10,2023-12-05,Rep_14,Paid Search,USA,4597.33
CUST_00138,Quantum Solutions,Retail,11-50,2024-03-16,Rep_14,Paid Search,USA,13838.89
CUST_00139,Helix AI,Finance,51-200,2022-07-17,Rep_13,Paid Search,UK,1666.67
CUST_00140,Nimbus Cloud,EdTech,11-50,2022-01-04,Rep_6,Referral,UK,11111.11
CUST_00141,Vertex Solutions,Finance,11-50,2023-10-14,Rep_6,Paid Search,UK,238337.5
CUST_00142,Pulse AI,EdTech,11-50,2023-12-09,Rep_3,LinkedIn Ads,India,2685.67
CUST_00143,Nova Technologies,Finance,1-10,2023-02-23,Rep_14,Organic,USA,11111.11
CUST_00144,Quantum AI,EdTech,11-50,2022-01-07,Rep_10,Organic,USA,4514.0
CUST_00145,Quantum AI,SaaS,201-1000,2023-01-20,Rep_4,Partner,India,18861.11
CUST_00146,Apex Solutions,SaaS,201-1000,2022-01-11,Rep_10,Paid Search,Australia,11111.11
CUST_00147,Summit Analytics,Manufacturing,1-10,2023-10-10,Rep_13,LinkedIn Ads,India,1666.67
CUST_00148,Apex Labs,Healthcare,1-10,2023-12-19,Rep_14,Partner,Canada,3726.67
CUST_00149,Nova Solutions,Healthcare,11-50,2022-02-11,Rep_14,Paid Search,India,11111.11
CUST_00150,Apex Technologies,Retail,1-10,2022-10-09,Rep_4,Partner,USA,1666.67
CUST_00151,Zenith Solutions,EdTech,11-50,2022-01-20,Rep_4,Paid Search,India,11111.11
CUST_00152,Orion Labs,SaaS,11-50,2024-09-17,Rep_6,Partner,Australia,24577.78
CUST_00153,Nova Labs,Finance,1000+,2022-02-17,Rep_10,LinkedIn Ads,USA,3245.0
CUST_00154,Apex Analytics,Manufacturing,51-200,2023-09-21,Rep_5,Partner,Canada,4683.33
CUST_00155,Summit Systems,Manufacturing,11-50,2022-04-15,Rep_4,Referral,USA,5102.0
CUST_00156,Pulse Technologies,Retail,11-50,2024-02-18,Rep_14,LinkedIn Ads,USA,3376.33
CUST_00157,Quantum Solutions,SaaS,51-200,2023-03-16,Rep_8,Referral,USA,360087.5
CUST_00158,Zenith Analytics,SaaS,11-50,2024-03-26,Rep_5,Organic,USA,1666.67
CUST_00159,Orion Cloud,Retail,11-50,2023-11-04,Rep_5,Paid Search,UK,1666.67
CUST_00160,Apex Solutions,SaaS,201-1000,2023-01-10,Rep_13,LinkedIn Ads,USA,2295.67
CUST_00161,Nova Solutions,Healthcare,1-10,2022-10-04,Rep_5,Partner,Canada,1666.67
CUST_00162,Nova Cloud,Finance,51-200,2024-03-11,Rep_9,Partner,UK,5714.33
CUST_00163,Helix Cloud,EdTech,1-10,2024-12-27,Rep_9,Paid Search,UK,16899.44
CUST_00164,Pulse Systems,Manufacturing,201-1000,2023-01-14,Rep_9,Referral,USA,120192.5
CUST_00165,Nimbus Labs,Healthcare,201-1000,2024-10-19,Rep_4,Partner,UK,15710.56
CUST_00166,Apex Systems,EdTech,1-10,2023-11-14,Rep_12,Paid Search,UK,11111.11
CUST_00167,Helix Labs,SaaS,201-1000,2022-02-16,Rep_10,Paid Search,USA,1666.67
CUST_00168,Pulse Software,Retail,1-10,2023-11-25,Rep_6,Referral,Germany,1666.67
CUST_00169,Orion Analytics,Manufacturing,1-10,2024-12-13,Rep_14,Referral,Australia,11111.11
CUST_00170,Nova Technologies,Healthcare,1-10,2023-10-27,Rep_15,Paid Search,USA,22460.0
CUST_00171,Helix Analytics,Retail,1-10,2023-11-19,Rep_11,Partner,UK,1666.67
CUST_00172,Pulse Analytics,Retail,11-50,2023-12-20,Rep_15,Paid Search,USA,7706.0
CUST_00173,Pulse Labs,SaaS,1-10,2022-01-21,Rep_7,Partner,Australia,100000.0
CUST_00174,Nimbus Software,Finance,11-50,2024-10-10,Rep_13,LinkedIn Ads,USA,4150.33
CUST_00175,Apex Labs,Retail,1-10,2023-10-07,Rep_8,Referral,USA,11111.11
CUST_00176,Quantum Systems,Retail,51-200,2022-01-23,Rep_12,Paid Search,USA,1666.67
CUST_00177,Nimbus Analytics,Retail,51-200,2023-03-25,Rep_10,LinkedIn Ads,Germany,1666.67
CUST_00178,Nova Technologies,Retail,1-10,2024-03-01,Rep_1,Partner,Australia,4621.67
CUST_00179,Apex Systems,EdTech,201-1000,2024-02-20,Rep_15,Referral,USA,100000.0
CUST_00180,Helix Technologies,SaaS,1000+,2024-12-26,Rep_5,Paid Search,USA,2269.0
CUST_00181,Orion Software,Finance,11-50,2023-10-10,Rep_10,Paid Search,Canada,12156.67
CUST_00182,Zenith Analytics,Finance,1-10,2024-01-12,Rep_5,LinkedIn Ads,India,31596.11
CUST_00183,Vertex Analytics,Manufacturing,1-10,2024-06-17,Rep_2,Paid Search,UK,3964.0
CUST_00184,Nimbus AI,EdTech,1-10,2022-03-16,Rep_7,Referral,India,100000.0
CUST_00185,Nova Cloud,Retail,1-10,2022-11-05,Rep_2,LinkedIn Ads,India,20254.44
CUST_00186,Nimbus Solutions,EdTech,1-10,2022-11-21,Rep_2,Partner,India,3661.67
CUST_00187,Zenith Analytics,Retail,1-10,2023-11-09,Rep_12,Paid Search,India,261861.25
CUST_00188,Zenith Solutions,SaaS,1-10,2024-10-11,Rep_2,LinkedIn Ads,USA,1666.67
CUST_00189,Pulse Labs,Finance,11-50,2023-12-03,Rep_1,LinkedIn Ads,UK,2833.0
CUST_00190,Zenith Technologies,Finance,51-200,2024-02-12,Rep_6,Paid Search,Germany,1666.67
CUST_00191,Quantum Software,Healthcare,11-50,2022-01-21,Rep_9,Partner,USA,1666.67
CUST_00192,Pulse AI,Manufacturing,11-50,2022-02-19,Rep_5,Paid Search,Canada,288828.75
CUST_00193,Summit Solutions,Manufacturing,11-50,2024-01-25,Rep_4,LinkedIn Ads,USA,1666.67
CUST_00194,Apex Technologies,Finance,11-50,2022-01-01,Rep_11,LinkedIn Ads,Germany,100000.0
CUST_00195,Nimbus Technologies,Finance,51-200,2022-01-11,Rep_8,Paid Search,USA,1666.67
CUST_00196,Summit Analytics,EdTech,1-10,2024-11-02,Rep_10,Paid Search,USA,4283.33
CUST_00197,Orion Technologies,EdTech,11-50,2023-10-01,Rep_12,Paid Search,Germany,3384.67
CUST_00198,Vertex Cloud,Retail,11-50,2023-10-10,Rep_10,Partner,India,4381.67
CUST_00199,Nova Solutions,SaaS,1-10,2024-02-23,Rep_10,LinkedIn Ads,USA,3816.67
CUST_00200,Quantum Technologies,Manufacturing,51-200,2024-07-02,Rep_11,Paid Search,Australia,21211.67
CUST_00201,Quantum Solutions,Retail,11-50,2023-11-02,Rep_5,Partner,USA,1666.67
CUST_00202,Nova Labs,Retail,11-50,2023-01-22,Rep_15,LinkedIn Ads,USA,145295.0
CUST_00203,Zenith AI,Finance,11-50,2024-02-03,Rep_9,Paid Search,India,234528.75
CUST_00204,Nimbus AI,Finance,11-50,2022-07-24,Rep_5,Organic,Canada,4989.0
CUST_00205,Helix Technologies,Retail,51-200,2023-02-27,Rep_12,LinkedIn Ads,India,1666.67
CUST_00206,Zenith Software,Finance,201-1000,2023-01-01,Rep_14,Paid Search,USA,16135.0
CUST_00207,Nimbus Labs,EdTech,1-10,2022-10-10,Rep_4,Paid Search,UK,100000.0
CUST_00208,Pulse Systems,EdTech,1-10,2023-11-20,Rep_11,LinkedIn Ads,UK,20641.67
CUST_00209,Pulse Systems,Finance,11-50,2022-03-04,Rep_10,Organic,USA,1666.67
CUST_00210,Pulse Systems,SaaS,1-10,2023-10-27,Rep_2,Organic,India,4226.0
CUST_00211,Pulse Labs,SaaS,51-200,2023-12-15,Rep_11,Paid Search,UK,2767.67
CUST_00212,Vertex Solutions,EdTech,51-200,2024-01-19,Rep_12,Paid Search,India,100000.0
CUST_00213,Helix Systems,Retail,11-50,2024-12-12,Rep_13,Paid Search,UK,2177.67
CUST_00214,Quantum AI,EdTech,1-10,2024-12-10,Rep_12,Paid Search,UK,2789.33
CUST_00215,Nimbus Cloud,Healthcare,1-10,2024-11-18,Rep_12,Paid Search,USA,3792.67
CUST_00216,Nova Labs,Retail,51-200,2023-12-04,Rep_9,Organic,USA,2642.33
CUST_00217,Orion Systems,Finance,11-50,2022-10-09,Rep_13,LinkedIn Ads,USA,1666.67
CUST_00218,Zenith Labs,Retail,11-50,2023-07-16,Rep_9,Partner,Germany,100000.0
CUST_00219,Summit Systems,Retail,51-200,2022-07-12,Rep_12,LinkedIn Ads,Australia,22047.22
CUST_00220,Pulse Solutions,Manufacturing,1000+,2022-07-03,Rep_1,Paid Search,UK,100000.0
CUST_00221,Nova Cloud,Healthcare,201-1000,2024-02-01,Rep_1,Referral,USA,1666.67
CUST_00222,Pulse Systems,EdTech,11-50,2024-04-13,Rep_3,Paid Search,USA,2123.0
CUST_00223,Quantum Solutions,Finance,1-10,2022-02-17,Rep_1,Paid Search,Australia,1666.67
CUST_00224,Orion AI,Healthcare,1-10,2022-02-18,Rep_8,Paid Search,USA,11111.11
CUST_00225,Helix Solutions,Finance,1-10,2022-07-24,Rep_8,Paid Search,Canada,1666.67
CUST_00226,Orion Systems,Retail,51-200,2022-11-15,Rep_12,Partner,India,1666.67
CUST_00227,Zenith Analytics,Retail,201-1000,2023-11-16,Rep_3,Paid Search,Germany,4764.33
CUST_00228,Summit Technologies,Healthcare,1-10,2022-10-12,Rep_2,Organic,Germany,100000.0
CUST_00229,Helix Solutions,Finance,11-50,2023-10-21,Rep_3,Referral,Germany,1666.67
CUST_00230,Vertex Technologies,SaaS,1000+,2023-11-12,Rep_12,Organic,India,1666.67
CUST_00231,Pulse AI,SaaS,11-50,2022-10-20,Rep_4,LinkedIn Ads,India,1666.67
CUST_00232,Zenith Software,Retail,1-10,2024-03-17,Rep_5,Partner,USA,35717.22
CUST_00233,Orion Systems,Manufacturing,1-10,2022-03-03,Rep_4,Paid Search,Germany,1666.67
CUST_00234,Apex Systems,Manufacturing,51-200,2023-11-05,Rep_14,Referral,USA,117267.5
CUST_00235,Helix Solutions,Finance,51-200,2022-03-09,Rep_7,Organic,UK,11111.11
CUST_00236,Quantum AI,SaaS,11-50,2023-12-09,Rep_11,Paid Search,USA,3830.33
CUST_00237,Summit Analytics,Finance,11-50,2022-03-05,Rep_4,Paid Search,USA,203772.5
CUST_00238,Nimbus Systems,Finance,1-10,2022-03-07,Rep_3,Partner,USA,11111.11
CUST_00239,Helix Software,Manufacturing,1-10,2023-02-16,Rep_5,LinkedIn Ads,USA,1666.67
CUST_00240,Summit AI,Finance,1-10,2024-06-16,Rep_10,LinkedIn Ads,Australia,215507.5
CUST_00241,Quantum Labs,Finance,1-10,2024-03-07,Rep_3,Paid Search,Germany,4402.0
CUST_00242,Zenith Analytics,Retail,51-200,2022-11-20,Rep_8,LinkedIn Ads,India,295787.5
CUST_00243,Vertex Systems,EdTech,51-200,2024-11-11,Rep_7,LinkedIn Ads,Canada,1666.67
CUST_00244,Helix Technologies,SaaS,11-50,2022-10-03,Rep_11,Partner,India,19926.11
CUST_00245,Quantum Software,Healthcare,201-1000,2023-03-11,Rep_6,Referral,USA,11111.11
CUST_00246,Quantum Cloud,Manufacturing,11-50,2022-10-13,Rep_15,Referral,Australia,2193.67
CUST_00247,Zenith Technologies,Finance,201-1000,2022-01-05,Rep_4,Paid Search,Germany,214688.75
CUST_00248,Nova AI,EdTech,11-50,2022-12-04,Rep_2,Paid Search,India,139325.0
CUST_00249,Nimbus Solutions,EdTech,1-10,2023-01-27,Rep_12,Partner,USA,11111.11
CUST_00250,Vertex Solutions,Finance,51-200,2022-10-20,Rep_13,Organic,UK,1666.67
CUST_00251,Quantum Systems,Retail,1-10,2024-04-17,Rep_8,Paid Search,India,3076.0
CUST_00252,Vertex Systems,Finance,11-50,2024-02-26,Rep_11,LinkedIn Ads,USA,26766.67
CUST_00253,Orion Technologies,EdTech,1-10,2023-11-12,Rep_1,Paid Search,Canada,245773.75
CUST_00254,Quantum Solutions,SaaS,1-10,2022-04-12,Rep_1,Partner,USA,5370.0
CUST_00255,Nimbus AI,Finance,11-50,2023-10-16,Rep_7,LinkedIn Ads,Germany,149580.0
CUST_00256,Nimbus Analytics,EdTech,1000+,2023-10-04,Rep_2,Paid Search,Canada,1666.67
CUST_00257,Helix Systems,SaaS,1000+,2023-09-13,Rep_15,Partner,Germany,21271.67
CUST_00258,Apex Labs,EdTech,11-50,2024-11-26,Rep_7,Partner,USA,347881.25
CUST_00259,Nova Labs,Finance,1-10,2022-02-01,Rep_7,Paid Search,India,1666.67
CUST_00260,Vertex Software,Manufacturing,1-10,2022-05-27,Rep_3,LinkedIn Ads,UK,1666.67
CUST_00261,Pulse Systems,EdTech,1-10,2023-01-13,Rep_9,Paid Search,Canada,4225.67
CUST_00262,Orion Solutions,EdTech,1-10,2023-03-23,Rep_10,LinkedIn Ads,USA,4167.67
CUST_00263,Apex Cloud,Healthcare,1-10,2023-02-21,Rep_4,Organic,USA,1666.67
CUST_00264,Zenith Analytics,Retail,1000+,2024-11-04,Rep_7,Organic,Australia,4712.67
CUST_00265,Zenith Cloud,SaaS,11-50,2022-01-02,Rep_13,Partner,India,1666.67
CUST_00266,Apex AI,SaaS,1000+,2023-12-01,Rep_7,Organic,USA,1829.33
CUST_00267,Apex Labs,SaaS,1-10,2024-01-22,Rep_5,Paid Search,USA,1666.67
CUST_00268,Nimbus Solutions,SaaS,11-50,2023-02-02,Rep_14,Partner,Germany,241017.5
CUST_00269,Vertex AI,EdTech,11-50,2022-03-14,Rep_7,Organic,USA,3484.33
CUST_00270,Nimbus Cloud,Finance,1000+,2023-01-22,Rep_13,Paid Search,India,18305.56
CUST_00271,Helix Solutions,Retail,1-10,2024-02-23,Rep_2,LinkedIn Ads,Canada,3961.67
